play an important part in;/pleɪ ən ɪmˈpɔːrtnt  pɑːrt ɪn/;在…中起重要作用，对…有重要影响;be important;Our leader played an important part in the team.,他在我们团队中起着重要作用。
merchant;/ˈmɜːrtʃənt/;n. 商人，批发商;someone who buys and sells goods especially in large amounts;The fruit merchant gave me a good price on his tomatoes.,水果商给我的西红柿价格很实惠。
quadrant;/ˈkwɑːdrənt/;n. 象限，四分之一圆;one part of something that is evenly divided into four parts;One quadrant of a circle accounts for 25% of it.,四分之一圆占取了整个圆25%的比例。
fantasy;/ˈfæntəsi/;n. 幻想，幻想作品；  vi. 奏幻想曲；  vt. 想像，幻想;something that is produced by the imagination :an idea about doing something that is far removed from normal reality;My greatest fantasy is to be showered in money.,我最大的幻想就是沐浴在钞票里。
antenna;/ænˈtenə/;n. 天线，触角;a device (such as a wire or a metal rod) for sending or receiving radio or television signals;My TV's antenna is broken, so it doesn't work anymore.,电视天线坏了，所以它也无法工作了。
instantaneous;/ˌɪnstənˈteɪniəs/;adj. 瞬间的；即刻的；猝发的;happening very quickly :happening in an instant;An instantaneous flash of lightning struck the city.,闪电的瞬间光亮划破城市夜空。
tantamount;/ˈtæntəmaʊnt/;adj. 与…相等的;equal;These days, having lots of oil is tantamount to having lots of money.,这年头，有很多石油等于有很多钱。
immigrant;/ˈɪmɪɡrənt/;n. 移民；侨民；  adj. 移民的；迁入的;a person who comes to live in a country that is not their own;The immigrants have left their home country to start a new life.,移民者离开他们原来的国家，开始了一段崭新的生活。
contestant;/kənˈtestənt/;n. 竞争者，争论者;a person who takes part in a contest;The contestants made a dash for the finishing line.,竞争者冲向终点线。
antibiotics;/ˌæntɪbaɪ'ɒtɪks/;n. 抗生素;a chemical substance derivable from a mold or bacterium that kills microorganisms and cures infections;Some bacteria are now developing a resistance to common antibiotics.,有些细菌现在已经产生出了对常见抗生素的抗药性。
determinant;/dɪˈtɜːrmɪnənt/;n. 决定因素，决定物，行列式，【生物学】免疫因子；  adj. 决定（性）的;a thing that controls or influences what happens;The parents' genes are the determinant of their child's looks. ,父母的基因是决定孩子长相的因素。
anti-ageing;;adj. 皮肤防皱的，防止皮肤发皱的;;She uses anti-ageing products to stay looking young.,她用了一款抗衰老产品，让自己看起来更年轻。
truant;/ˈtruːənt/;n. 旷课者，懒惰的人；  adj. 旷课的，偷懒的；  v. 逃学，偷懒，逃避责任;a student who misses school without permission;He played truant because he hates going to class.,他逃学是因为讨厌上课。
buoyant;/ˈbɔɪənt/;adj. 有浮力的，愉快的，（股市）保持高价的;able to float;How do you manage to stay buoyant in these waters?,你是如何掌控以漂浮在水面的？
constant;/ˈkɑːnstənt/;adj. 持久不变的，始终如一的，继续不断的；  n. 不变的事物，常数，恒量;staying the same; not changing;The constant noise from the construction site makes me crazy.,建筑工地持续不断的噪音让我快疯啦！
avant-garde;/ˌævɑ̃ː ˈɡɑːrd/;n. 先锋派（艺术流派之一）；  adj. 前卫的，先锋的;a group of people who develop new and often very surprising ideas in art, literature, etc.;I don't understand avant-garde art.,我不懂先锋派艺术。
anterior;/ænˈtɪriər/;adj. 前面的，先前的;near or toward the front of something (such as the body);The anterior view shows the front of the body.,前视图显示身体的前面部分。
blatant;/ˈbleɪtnt/;adj. 喧哗的，露骨的，俗丽的，炫耀的;very obvious and offensive;How can he be so blatant about cheating in the exam?,他怎么敢如此明目张胆的在考试中作弊啊？
refrigerant;/rɪ'frɪdʒərənt/;n. 制冷剂，冷冻剂，清凉剂；  adj. 制冷的，退热的;irritating refrigerant;A cool towel can serve as a refrigerant to relieve the fever.  ,一条冷毛巾可以起到降温的作用来缓解发烧。
unimportant;/ˌʌnɪmˈpɔːrtnt/;adj. 不重要的，琐碎的;not important;In China, chicken feathers and garlic skin represent unimportant things.,在中国，鸡毛和蒜皮代表不重要的事情。
infantile;/ˈɪnfəntaɪl/;adj. 婴儿的，幼稚的，初期的;annoying and childish :very silly in a way that is not appropriate or polite;It must be said that for an adult, his eating habits are pretty infantile.,这样说吧，他吃饭的方式对于成年人而言相当幼稚。
gigantic;/dʒaɪˈɡæntɪk/;adj. 巨大的;extremely large;A long time ago, gigantic reptiles roamed the Earth.,很久以前，巨大的爬行动物在地球上漫步。
supplant;/səˈplænt/;v. 代替，排挤掉;to take the place of (someone or something that is old or no longer used or accepted);The car has supplanted the horse-drawn carriage.,汽车已取代了马车。
informant;/ɪnˈfɔːrmənt/;n. 被调查者，告密者，提供消息者;a person who gives information about his or her culture or language to a researcher;We have a high-level informant who tells us the secrets of our largest competitor.,我们有一个高层告密者，他把我们最大竞争者的秘密告诉给我们。
pregnant;/ˈpreɡnənt/;adj. 怀孕的，充满的;having a baby or babies developing inside the body;She's pregnant, so she eats healthy and does not drink or smoke.,她怀孕了，所以她健康饮食并且不抽烟不喝酒。
recant;/rɪˈkænt/;v. 宣布放弃，公开认错;to publicly say that you no longer have an opinion or belief that you once had;The old man recanted all the bad things he had done in his life.,这位老人对他此生做的所有坏事公开认错。
militant;/ˈmɪlɪtənt/;adj. 好战的，好暴力的；  n. 激进分子，斗士;having or showing a desire or willingness to use strong, extreme, and sometimes forceful methods to achieve something;The police are in conflict with militant groups.,警察和激进分子爆发了冲突。
anthropoid;/ˈænθrəpɔɪd/;adj. 像人类的，类人猿的；  n. 类人猿;resembling a human being;Anthropoids like chimpanzees are closely related to humans.,黑猩猩这种类人猿和人类是近亲。
penchant;/ˈpentʃənt/;n. 倾向，爱好;a strong liking for something or a strong tendency to behave in a certain way;He had a penchant for playing piano.,他有弹钢琴的爱好。
predominant;/prɪˈdɑːmɪnənt/;adj. 占主导地位的；显著的；占优势的;more important, powerful, successful, or noticeable than other people or things;The white pieces were predominant on the chess board, so I lost the game.,棋盘上白色棋子占上风（主导地位），所以我输掉了比赛。
vantage;/'vɑːntɪdʒ/;n. 优势，有利情况;place or situation affording some advantage (especially a comprehensive view or commanding perspective);From my vantage point on the hill, I could see the whole procession.,从山上的有利视角，我可以看到整支队伍。
radiant;/ˈreɪdiənt/;adj. 光芒四射的，绚丽的，喜悦的;bright and shining;The sun has a radiant glow.,太阳金光闪闪。
descendant;/dɪˈsendənt/;n. 后代，后裔，派生物；  adj. 下降的，祖传的;someone who is related to a person or group of people who lived in the past;It is said that Mr. Bao is a descendant of the moon.,据说，包仲基是月亮的后裔。（歪，妖妖灵吗？有人模仿我老公！）
instant;/ˈɪnstənt/;n. 瞬间，立即；  adj. 立即的，即时的，速成的，当月的;a very short period of time;The mother caught her baby the instant he fell.,那位母亲在孩子掉下的瞬间接住了他。
consonant;/ˈkɑːnsənənt/;adj. 辅音的，一致的，和谐的；  n. 辅音，辅音字母;a letter that represents a consonant;The letter p is a consonant.,P是个辅音字母。
warrantable;/'wɒrəntəbəl/;adj. 可承认的，可保证的，正当的;certifiable;Our pinky promise was a warrantable agreement.,我们的拉钩承诺是有效的协议。
fantastical;/fæn'tæstɪkəl/;adj. 空想的，捕风捉影的;based on fantasy : not real;In this fantastical dream world, magic and unicorns are real.,在这个幻想的梦境，魔法和独角兽都是真的。
warranty;/ˈwɔːrənti/;n. 授权，根据，保证书，担保书，保单;a written statement that promises the good condition of a product and states that the maker is responsible for repairing or replacing the product usually for a certain period of time after its purchase;This car comes with a ten-year warranty, so you can bring it back to the dealership if it breaks.,这辆车有十年的质保期，所以如果它坏了的话，你可以把它送回经销商处。
pedant;/ˈpednt/;n. 学究式人物，书呆子，卖弄学问的人;a person who annoys other people by correcting small errors and giving too much attention to minor details;He's always correcting me on my grammar and spelling! What a pedant.,他老是纠正我的语法和拼写错误！真是个书呆子！
antediluvian;/ˌæntidɪˈluːviən/;adj. 史前的，陈旧的；  n. 大洪水以前的人，年迈的人，不合时宜的人;very old or old-fashioned;The typewriter is so antediluvian, it's older than my parents!,这台打字机很古老，它比我父母年纪还大！
lubricant;/ˈluːbrɪkənt/;n. 润滑剂，润滑油；  adj. 润滑的;;Use of high quality lubricant prevents malfunctioning of the engine.,使用高质量的润滑剂可以防止引擎出故障。
defendant;/dɪˈfendənt/;n. 被告;a person who is being sued or accused of a crime in a court of law;The defendant is filled with regret in the court.,这个被告在法庭上充满了悔意。
canto;/ˈkæntoʊ/;n. （长诗的）分篇;a major section of a long poem;I've just finished reading the last canto of a very long poem.,我刚刚读完了一首长诗的最后一篇。
antipathy;/ænˈtɪpəθi/;n. 反感，厌恶，憎恶;;Stay away - I have an antipathy towards you.,离我远点-我讨厌你。
nonchalant;/ˌnɑːnʃəˈlɑːnt/;adj. 若无其事的，满不在乎的，冷静的，冷漠的;relaxed and calm in a way that shows that you do not care or are not worried about anything;I'm attacking you! How can you be so nonchalant?,我在抨击你！你怎么能这么冷静？
antique;/ænˈtiːk/;n. 古董；古玩；古物；  adj. 古代的；古董的;art, furniture, jewelry, etc. that was made at an earlier time and is often valuable;I'm fascinated by that antique at first sight!,我第一眼就被这个文物吸引了！
petulant;/ˈpetʃələnt/;adj. 性急的，易怒的，爱闹气的;having or showing the attitude of people who become angry and annoyed when they do not get what they want;My daughter's acting really petulant just because I wouldn't lend her my car.,就因为我没有借车给她，我女儿的反应非常任性。
itinerant;/aɪˈtɪnərənt/;n. 巡回工作者；  adj. 巡回的，流动的;traveling from place to place :staying in a place for only a short amount of time;Our regional staff includes twenty itinerant salesmen.,我们的地区员工包括20个流动销售人员。
antifreeze;/ˈæntifriːz/;n. 抗冻剂;a substance that is added to the water in a vehicle's engine to prevent it from freezing;Antifreeze stops your car's radiator from boiling in summer or freezing in winter.,抗冻剂能够防止汽车水箱夏季自燃，冬季结冰。
warrant;/ˈwɔːrənt/;n. 逮捕证；正当理由；  v. 授权；证明⋯⋯是正当的；使正当;a legal document that is signed by a judge and gives the police authority to do something;"Open up! It's the police, we have a warrant for your arrest!",开门！我们是警察，我们有权逮捕你！
meantime;/ˈmiːntaɪm/;n. 同时，其间；  adv. 同时，当时，在那当中;the time between one event, process, or period and another;He crawled out of the window, but in the meantime the angry husband found his gun!,他爬出了窗户，但是同时那个愤怒的丈夫也找到了他的枪！
antitrust;/ˌæntiˈtrʌst/;adj. 反垄断的;(of laws) preventing companies or groups of companies from controlling prices unfairly;Antitrust laws are in place, preventing price fixing and unfair business practices from big companies.,反垄断法现已就位，它能够制止大公司的价格垄断和不正当的商业行为。
instantly;/ˈɪnstəntli/;adv. 立即地；  conj. 一…就…;without delay;The great thing about e-mail is that you can send a message instantly.,邮件最大好处在于，你可以立即发一条信息。
inhabitant;/ɪnˈhæbɪtənt/;n. 居民，住户;a person or animal that lives in a particular place;Indians are the native inhabitants of North America.,印第安人是北美洲的原住民。
gallant;/ˈɡælənt/;adj. 勇敢的，（向女人）献殷勤的;showing courage :very brave;The gallant knight is rescuing the trapped princess.,勇敢的骑士正在营救被困的公主。
exuberant;/ɪɡˈzuːbərənt/;adj. （植物）茂盛的，（人）充满活力的;very lively, happy, or energetic :filled with energy and enthusiasm;The trees are exuberant in the forest in spring time.,春天里森林里的树木很繁茂。
take advantage of;/teɪk ədˈvæntɪdʒ əv/;利用;to make use of somebody/something in a way that is unfair or dishonest;He tried to take advantage of technology to win the race.,他试图利用高科技来赢得赛跑。
antler;/ˈæntlər/;n. 鹿角，茸角;the horn of a deer or similar animal;Male deer can have huge antlers.,公鹿可能会有巨大的鹿角。
recalcitrant;/rɪˈkælsɪtrənt/;adj. 顽抗的，不顺从的;stubbornly refusing to obey rules or orders;Even after I offered him money to help me, he was still recalcitrant.,即使在我给钱让他帮我之后，他还是顽抗不从。
mantle;/ˈmæntl/;n. 外壳，披风，地幔；  v. 覆盖;a loose piece of clothing without sleeves that was worn over other clothes especially in the past;The earth has an upper mantle and a lower mantle.,地球有上地幔和下地幔。
sextant;/'sekstənt/;n. 六分仪（航海定向仪器）;an instrument for measuring angles and distances, used to calculate the exact position of a ship or an aircraft;The captain is using a sextant to determine their location.,船长在用六分仪定位。
IT consultant;;（Information Technology consultant）信息技术顾问;;Thank god! The IT consultants have finally solved our computer server problems in the office.,谢天谢地！信息技术顾问终于把办公室里服务器的问题解决啦！
redundant;/rɪˈdʌndənt/;adj. 被下岗的，多余的，过剩的;dismissed from a job because you are no longer needed;His boss thought the man was redundant and was dissatisfied with him.,老板觉得他是多余的人，对他很不满意。
jubilant;/ˈdʒuːbɪlənt/;adj. 喜悦的，欢呼的;feeling or expressing great joy :very happy;I was jubilant when I found out I got the job.,当我知道我得到了那个工作的时候，我就开始欢呼了。
preponderant;/prɪˈpɑːndərənt/;adj. 占优势的，压倒性的;greater in number, force, or importance;For now, the American military is the world's preponderant military force.,目前，美国军队是世界上最占优势的武装力量。
miscreant;/ˈmɪskriənt/;n. 恶棍，歹徒;a person who does something that is illegal or morally wrong;Some young miscreants have guns.,一些年轻的恶棍有枪。
