slam dunk;/ˈslæm dʌŋk/;n. 扣篮;the act of jumping up and putting the ball through the net with a lot of force;The basketball player did a perfect slam dunk.,那个篮球运动员完成了一次完美的扣篮。
cram;/kræm/;v. 考试前临时抱佛脚，塞入，填入，喂饱;to prepare for a test, exam, etc., by learning a lot of information quickly;The boy is cramming for the exam.,男孩在考试前拼命抱佛脚。
thermodynamics;/ˌθɜːrmoʊdaɪˈnæmɪks/;n. 热力学;a science that deals with the action of heat and related forms of energy;Air conditioning cools and heats rooms through thermodynamics.,空调通过热力学原理来制冷或加热房间。
be/get familiar with;;熟悉，与……熟悉起来;;My guide dog is familiar with the path to the shops.,我的导盲犬很熟悉去商店的路线。
MSG(mono-sodium glutamate);;n. 味精;;Food in restaurants always have too much MSG.,餐馆里的食物都加了太多味精。
famed;/feɪmd/;adj. 著名的;known and usually liked by many people;This famed fountain in Rome attracts a lot of tourists.,罗马著名的喷泉吸引了很多游客。
metamorphose;/ˌmetəˈmɔːrfoʊz/;v. 使变形，使变质;to change in an important and obvious way into something that is very different :to undergo metamorphosis;It's inspiring to see a caterpillar metamorphose into a butterfly.,看毛毛虫变成蝴蝶很鼓舞人心。
kilogramme;/ˈkɪləɡræm/;n. 公斤; one thousand grams; the basic unit of mass adopted under the Systeme International d'Unites;One kilogramme is about 2.2 pounds.,一公斤大约是2.2磅.
ornamentation;/ˌɔːrnəmenˈteɪʃn/;n. 装饰品;something that is added to make something else more attractive;The rich and complex ornamentation on the jewelry seemed excessive.,珠宝上那些复杂且奢华的装饰物看起来很多余。
aquamarine;/ˌækwəməˈriːn/;n. 海蓝宝石;a pale greenish-blue stone that is used in jewelry;This gemstone is a beautiful light-blue aquamarine.,这个宝石是一个漂亮的淡蓝色海蓝宝石。
tsunami;/tsuːˈnɑːmi/;n. 海啸;an unusually large sea wave produced by a seaquake or undersea volcanic eruption.;Get away from the beach! The tsunami is coming!,快离开海滩！海啸来了！
Jamestown;/ˈdʒeɪmzˌtaʊn/;n. 詹姆斯敦（北美洲第一个英国永久殖民地）;ruins in the U.S. of the first permanent English settlement in America, in Virginia;Our class went on a field trip to the historic colony at Jamestown.,我们班实地考察旅行去了詹姆斯顿的一个历史殖民地。
programme;/ˈproʊɡræm/;n. 节目，程序表，节目单，计划；  vi. 安排节目，编制程序；  vt. 安排节目，计划;a presentation that is broadcast on radio or television;The whole family is watching its favourite TV programme. ,所有的家庭成员一起看着他们最爱的电视节目。
flamboyant;/flæmˈbɔɪənt/;adj. 辉耀的，华丽的，艳丽的，火焰似的;having a very noticeable quality that attracts a lot of attention;A good carnival dress has to be flamboyant.,一个好的狂欢节衣服应该是很耀眼的。
grammatical;/ɡrəˈmætɪkl/;adj. 语法上的;following the rules of grammar;We should use established grammatical rules when writing sentences.,我们在写句子时要遵循现有的语法规则。
camera;/ˈkæmərə/;n. 照相机，摄影机;a device that is used for taking photographs or for making movies, television programs, etc.;I prefer to use a digital camera to take pictures.,我更愿意用数码相机照相。
amorphous;/əˈmɔːrfəs/;adj. 无定形的，无组织的，【物】非晶形的;having no definite or clear shape or form;Jellyfish have amorphous bodies.,水母拥有无组织的躯体。
amenity;/əˈmenəti/;n. 便利设施，舒适，愉快，礼仪;something that makes life easier or more pleasant;The toilet comes equipped with all the basic amenities, like soap and shampoo.,厕所装备了所有的基础便利设施，比如香皂和洗发水。
fame;/feɪm/;n. 名望，名声；  vt. 盛传，使有名;the condition of being known or recognized by many people;Media is attracted by her fame.    ,媒体被她的名声所吸引。
dramatize;/ˈdræmətaɪz/;vi. 戏剧化；  vt. 使戏剧化，改编为剧本，以戏剧形式表现;to make (a book, an event, etc.) into a play, movie, television show, etc.; The actor is really good at dramatizing the script.   ,这位演员很擅长将剧本内容以戏剧化的方式表演出来。
ammeter;/ˈæmiːtər/;n. 【电】安培计，【电】电流计;a meter that measures the flow of electrical current in amperes;An ammeter measures electrical current.,电流计测量电流。
amongst;/ə'mʌŋst/;prep. 在…之中（=among）;surrounded by somebody/something; in the middle of somebody/something;You could hardly see his face amongst the mountain of papers.,在这堆积如山的纸片中你几乎看不到他的脸。
tramway;/'træmweɪ/;n. 轨道;the rails that form the route for a tram;Mines have tramways in order to transport objects from place to place.,矿道里的轨道是用把物品从一个地方运到另一个地方。
amazement;/əˈmeɪzmənt/;n. 惊异，惊愕;a feeling of being very surprised or amazed;I sat in amazement at the wonderful painting. ,看着这幅美妙的绘画，我惊呆了。
jam;/dʒæm/;n. 果酱，堵塞；  v. （使）阻塞，塞满，挤;a thick sweet substance made by boiling fruit with sugar;She spread some jam on the bread.,她给面包涂上了果酱。
shambles;/ˈʃæmblz/;n. 混乱，废墟，屠宰场;a place or state in which there is great confusion, disorder, or destruction;The earthquake had left the now-deserted house in shambles.,地震使这座目前荒废的房子沦为废墟。
amputate;/ˈæmpjuteɪt/;v. 切除，截肢，切断;to cut off (part of a person's body);They had to amputate his damaged leg below the knee.,他们必须切除他膝盖以下损坏的腿。
inflammation;/ˌɪnfləˈmeɪʃn/;n. 【病理】炎症，【医】发炎，燃烧，发火;;The man suffered the inflammation of the  throat.,他喉咙发炎了。
downstream;/ˌdaʊnˈstriːm/;adj. 下游的；  adv. 下游地;in the direction in which a stream, river, etc., flows;The man lives downstream from me and drinks the river water that I use every day.,君住长江尾，喝我用的水~
amiable;/ˈeɪmiəbl/;adj. 和蔼的，亲切的，温和的;friendly and pleasant;Airline flight attendants must always appear amiable and always keep smiling.,空乘人员必须随时都很亲切，必须要保持微笑。
familiar;/fəˈmɪliər/;adj. 熟悉的；不拘礼节的；亲密的；随便的；  n. 密友；常客；高级官吏的家属;well known or easily recognized;His owner's voice is very familiar to the dog.,狗对它主人的声音很熟悉。
tramp;/træmp/;n. 流浪汉；无业游民；  v. 重步行走；踏；践踏;a person who travels from place to place and does not have a home or much money;The tramp begs for money all day.,这个流浪汉每天都在讨钱。
whipped cream;;奶油;;He topped the cake with whipped cream.,他在蛋糕上面抹了奶油。
amble;/ˈæmbl/;v. 漫步，缓行;to walk slowly in a free and relaxed way;We like to amble through the park in the evening.,我们喜欢晚上在公园中散步。
amass;/əˈmæs/;vi. 聚集；  vt. 收集，积累，积聚;to gather or collect (something, such as a large amount of money) especially for yourself;He has amassed a lot of money over the years.,这些年他攒了不少钱。
stream;/striːm/;n. 溪流，小河；  v. 流动，涌出;a natural flow of water that is smaller than a river;There was a small stream running through the forest.,有一条小溪从森林中流过。
programmer;/ˈproʊɡræmər/;n. 程序师，程序规划员;;The programmer is writing code.,程序员正在写代码。
metamorphosis;/ˌmetəˈmɔːrfəsɪs/;n. 变形，变质，变异，【生物学】变态;a major change in the form or structure of some animals or insects that happens as the animal or insect becomes an adult;The metamorphosis of caterpillar into butterfly is a fascinating natural process.,毛毛虫蜕变成蝴蝶是迷人的自然过程。
program;/ˈproʊɡræm/;n. 程序，节目单，大纲；  v. 给……编写程序;a set of instructions in code that control the operations or functions of a computer;Leave me alone! I’m trying to write a program on the computer!,别理我！我只想好好地在电脑上写代码！
preamble;/priˈæmbl/;n. 序文，电报报头，先兆;a statement that is made at the beginning of something (such as a legal document) and usually gives the reasons for the parts that follow;After a long preamble, he finally began his talk.,一段很长的开场白之后，他终于开始了讲话。
ambassador;/æmˈbæsədər/;n. （特命全权）大使；特使；代表;the highest-ranking person who represents his or her own government while living in another country;The Chinese ambassador gave a speech in America.,中国大使在美国发表了演讲。
family name;/ˈfæməli neɪm/;phr. 姓氏;the part of your name that shows which family you belong to;Japanese people always write their family name beside the door.,日本人总是在门边写上自己的家族姓氏。
calamitous;/kəˈlæmɪtəs/;adj. 造成灾祸的，灾难的，悲惨的;causing great harm or suffering;The forest fire was calamitous for the animal who used to live there.,对曾经在此栖息的动物来说，这场森林火灾是灾难性的。
name...after;/neɪm ˈæftər/;以…命名;give a name to somebody/something according to somebody/something;This university is named after Sun Yat-sen .,中山大学是以孙中山的名字命名的。
glamour;/ˈɡlæmər/;n. 魅力，迷人的美，魔力；  vt. 美化，迷惑;a very exciting and attractive quality;Her glamour and beauty are easy to see.,她的魅力和美貌显而易见。
make a name;;出名;to become famous;She made a name for herself as an actress in Hollywood.,她最初是当演员出名的。
lame;/leɪm/;adj. 跛的；瘸的；差劲的；蹩脚的;having an injured leg or foot that makes walking difficult or painful;I'm lame since my accident; I need the help of my arms to walk.,事故之后我就瘸了，我需要手来帮助我走路。
pamper;/ˈpæmpər/;v. 纵容，过分关怀，精心照料;to treat (someone or something) very well :to give (someone or something) a lot of attention and care;It's very common to see the grandparents pamper their grandson.,爷爷奶奶纵容自己的孙子，这种现象很常见。
diameter;/daɪˈæmɪtər/;n. 直径;a straight line from one side of a circle or other round objects to the other side that passes through the center point;The worker was measuring the lumber's diameter.,工人正在测量木材的直径。
mammoth;/ˈmæməθ/;n. 长毛象，猛犸象，庞然大物；  adj. 巨大的，庞大的，猛犸似的;a type of large, hairy elephant that lived in ancient times and that had very long tusks that curved upward;The woolly mammoth was like a big, hairy elephant.,长满长毛的猛犸象就像一只巨大又毛茸茸的大象。
parameter;/pəˈræmɪtər/;n. 参（变）数，参量;a rule or limit that controls what something is or how something should be done;The math is very complicated; there are all kinds of parameters you need to take into account.,这算法很复杂，有各种变量需要计算。
histogram;/ˈhɪstəɡræm/;n. 【统计】直方图，柱状图; a bar chart representing a frequency distribution; heights of the bars represent observed frequencies;This histogram shows the sales numbers from this year.,这个柱状图展示了自今年以来的销售额。
dynamite;/ˈdaɪnəmaɪt/;n. 炸药，扣人心弦的事；  adj. 极好的；  vt. 炸毁，摧毁，破坏;a powerful explosive that is often used in the form of a stick;Watch out! The dynamite is going to blow up!,小心！炸药就要爆炸了！
team up with;;与……合作或一起工作;;To be more efficient, the two companies have teamed up with each other.,为了更加高效，这两家公司与彼此展开了合作。
blame;/bleɪm/;v. 责备，把……归咎于；  n. 责备，过失;to think or say that somebody is responsible for something bad or wrong;I always get all the blame, but I never do anything wrong.,我总是受到所有的责备，但我从没做错任何事。
stamina;/ˈstæmɪnə/;n. 耐力，持久力;great physical or mental strength that allows you to continue doing something for a long time;They exercised every day in order to improve their stamina. ,他们每天都运动以增强耐力。
amortize;/ˈæmərtaɪz/;v. 分期偿还，摊还;to liquidate (a debt, such as a mortgage) by installment payments or payment into a sinking fund;It will take three months of payments to amortize my debt from buying this expensive T-shirt.,我将用三个月分期付款来偿还我买这件昂贵T恤的欠款。
adamant;/ˈædəmənt/;adj. 强硬的，固执的；  n. 坚硬的东西，坚石;not willing to change an opinion or decision :very determined;The emperor is adamant that he will not resign.,该皇帝坚决不退位。
amaze;/əˈmeɪz/;v. 使惊奇;to surprise and sometimes confuse (someone) very much; to fill (someone) with wonder;This news really amazes me!,这条消息真的让我感到很吃惊！
in amazement;/əˈmeɪzmənt/;n. 惊愕，惊诧;a feeling of great surprise;My grandma looked at something in amazement.,我奶奶看呆了。
examine;/ɪɡˈzæmɪn/;v. 检查，细查，对……进行考试;to test or look carefully at (something or someone) for signs of illness or injury;I took my dog to the vet to be examined.,我带我的狗去兽医那里检查。
programming;/ˈproʊɡræmɪŋ/;n. 【计算机】编制程序，设计，规划;;If you think you are going to learn programming in an IT class, you are wrong.,如果你认为在电脑班能学会如何编程，你就大错特错了。
damn;/dæm/;int. 该死，讨厌；  v. 诅咒；  n. 诅咒，丝毫;used to show that you are angry, annoyed, surprised, etc.;Damn, that hurts!,该死，好痛！
dramatic;/drəˈmætɪk/;adj. 戏剧性的；引人注目的；巨大的;often showing a lot of emotion; tending to behave and react in an exaggerated way;She had a very dramatic personality, and tended to act like an actress on a stage.,她为人非常有戏剧性，总是要摆出一副舞台上的女演员的样子。
exclamation;/ˌekskləˈmeɪʃn/;n. 感叹，惊叹，惊呼，惊叹词;a sharp or sudden cry; a word, phrase, or sound that expresses a strong emotion;The author used three exclamation marks to express his anger.,作者用了三个感叹号来表达他的愤怒。
amber;/ˈæmbər/;n. 琥珀，琥珀色；  v. 使呈琥珀色；  adj. 琥珀色的，琥珀制的;a dark orange-yellow color;Thousands of years ago, a mosquito was trapped in this amber.,千年前，一只蚊子被困在了这块琥珀中。
ream;/riːm/;v. 榨取（果汁等），扩展，挖；  n. 令（纸张的计数单位），大量;an amount of paper that equals 480, 500, or 516 sheets;A ream of paper sits on the floor.,地面上摆着厚厚一摞纸。
amphitheater;/ˌæmfɪ'θɪətə/;n. 竞技场，圆形露天剧场，古罗马剧场;a large building with seats rising in curved rows around an open space on which games and plays take place;The Romans built many amphitheaters for plays and public performances.,古罗马人为了戏剧和公演建了很多剧场。
tamp;/tæmp/;vt. 夯实，减少；  n. 夯具;to press something such as soil or tobacco down firmly;We tamped the soil down to make the ground firmer.,我们夯实了泥土以使地面更紧实。
teamwork;/ˈtiːmwɜːrk/;n. 团队合作，协力;the work done by people who work together as a team to do something;Teamwork allows us to bring this excellent app to you.,正是团队合作才让我们将这么棒的应用呈现给您。
sacrament;/ˈsækrəmənt/;n. 圣礼，圣事;an important Christian ceremony (such as baptism or marriage);The 'Eucharist' is an important religious sacrament for Catholics.,“圣餐”对天主教徒来说是一个重要的宗教圣事。
family;/ˈfæməli/;n. 家庭，亲属，家族；  adj. 家庭的，家族的，适合于全家的;a group of people who are related to each other;There are five people in my family.,我家里有五口人。
mammal;/ˈmæml/;n. 哺乳动物;any animal that gives birth to live babies, not eggs, and feeds its young on milk;Dogs are man's favorite mammal.,狗是最受人类喜爱的哺乳动物。
contaminate;/kənˈtæmɪneɪt/;v. 弄脏，污染;to make (something) dangerous, dirty, or impure by adding something harmful or undesirable to it;The environment has been severely contaminated.,环境被严重地污染了。
revamp;/ˈriːvæmp/;v. 翻新，整修，升级;to make (something) better or like new again;They're going to revamp the downtown area by improving the streets and adding more metro stops.,他们将整改城镇，修缮道路，增加地铁站数量。
scream;/skriːm/;vi. 尖叫；  vt. 尖叫着说出；  n. 尖叫声;to suddenly cry out in a loud and high voice because of pain, surprise, etc.;He is screaming with a terrified look.,他面色惊恐，惊声尖叫。
amity;/ˈæməti/;n. 友好，亲善关系，友好关系;a feeling of friendship :friendly relations between nations or groups;My best friend and I have a relationship based on amity and trust.,我与关系最好的闺蜜的友情建立在友好、信任之上。
advertising campaign;;广告活动;a planned series of advertisements aimed at increasing the sales of a particular brand of good or service;We launched/ran an advertising campaign to sell our new product.,为了出售我们的新产品，我们发动了一场广告活动。
amendment;/əˈmendmənt/;n. 改善，改正;a change in the words or meaning of a law or document (such as a constitution);I made an amendment to my homework and corrected my mistake.,我对家庭作业做了些改正，修改了其中的错误。
ambrosial;/æm'broʊʒɪəl/;adj. （食物或者气味）特别美味的;extremely pleasing to the taste; sweet and fragrant;Have some honey! It's so delicious, it's positively ambrosial!,来点儿蜂蜜吧！它特别美味芳香！
cameraman;/ˈkæmrəmæn/;n. 摄影师，照相师，摄影记者;;The camerman wanted to record everything I said and did.,摄像师想录下所有我说的话和做的动作。
ramble;/ˈræmbl/;vi. 溜达；瞎扯；  n. 漫步；  vt. 漫步于…;to walk or go from one place to another place without a specific goal, purpose, or direction;He rambled on and on until everyone was bored.,他不停地胡吹海侃直到所有人都厌烦了。
famine;/ˈfæmɪn/;n. 饥荒；严重的缺乏;a situation in which many people do not have enough food to eat;These poor African kids suffer a lot from famine.,这些可怜的非洲儿童饱受饥荒之苦。
ambition;/æmˈbɪʃn/;n. 雄心，强烈欲望，抱负，（具体的）追求目标，（干）劲;a strong desire to achieve something;This powerful man's political ambition was to unify the three kingdoms.,作为一个有权势的男人，他的政治雄心是一统三国。
tantamount;/ˈtæntəmaʊnt/;adj. 与…相等的;equal;These days, having lots of oil is tantamount to having lots of money.,这年头，有很多石油等于有很多钱。
untamed;/ˌʌnˈteɪmd/;adj. 不能抑制的，难控驭的，未驯服的;wild and not controlled by people :not tamed;Be careful near untamed animals like lions.,靠近未驯服的动物比如狮子时，需要小心行事。
parallelogram;/ˌpærəˈleləɡræm/;n. 平行四边形;a four-sided shape made up of two pairs of straight parallel lines that are equal in length;Parallelograms are so much more fun than squares.,平行四边形比正方形有趣多了。
inflammatory;/ɪnˈflæmətɔːri/;adj. 炎症性的，煽动性的，激动的;causing or having inflammation;I had an inflammatory reaction to the strong medicine.,这个药性强的药让我发炎。
amend;/əˈmend/;v. 改进；修订；修正;to change and improve (something, such as a mistake or bad situation);She amended her boyfriend's grammar mistake.,她修正了他男朋友的语法错误。
amusement;/əˈmjuːzmənt/;n. 娱乐;something (such as an activity) that amuses or entertains someone;We had a good time in the amusement park.,我们在游乐园玩得很开心。
amenable;/əˈmiːnəbl/;adj. 服从的，对…负有责任，有服从的义务的，经得起检验的;willing to agree or to accept something that is wanted or asked for;This girl is amenable to her mother, doing her homework without any argument.,小红对妈妈言听计从，没有抱怨做着作业。
under the name of;;用……的名字，在……的名字下;using a name different from one's own;The letter was written under the name of 'Razor Killer'.,这封信是用“刀片杀手”的名字写下的。
name;/neɪm/;n. 名字，名义；  v. 给……取（或命）名，取名，指出;give a name to sb;What should we name our new daughter?,我们应该给新生女儿起个什么名儿？
dream;/driːm/;v. 梦想，做梦；  n. 梦，梦想;a series of images, events and feelings that happen in your mind while you are asleep;The man dreams of achieving many things in his lifetime.,他梦想在他的生命里实现许多目标。
shaman;/ˈʃeɪmən/;n. 巫师，萨满教的道士，僧人;someone who is believed in some cultures to be able to use magic to cure people who are sick, to control future events, etc.;A shaman is performing a ritual in the forest.,巫师在森林里举行仪式。
dampen;/ˈdæmpən/;vi. 变潮湿，沮丧；  vt. 使潮湿，抑制，使扫兴;to make (something) less strong or active;The heavy rain dampened the little boy's spirits for going out.,大雨减少了这个小男孩出门玩的兴致。
frame;/freɪm/;n. 构架，框，结构，体格；  v. 构成，制定，给……装框架;the supporting structure of a piece of furniture, a building, a vehicle, etc. that gives it its shape;The picture looks nice in this picture frame.,这幅画在这面画框里看起来很漂亮。
amplifier;/ˈæmplɪfaɪər/;n. 放大器，扩音器;a device that increases the strength of electric signals so that sounds played through an electronic system are louder;The megaphone contains an amplifier to make sounds louder.,扩音器中有一个放大器来使声音变大。
stream;/striːm/;n. 溪流；小河；  v. 流动；涌出;a natural flow of water that is smaller than a river;There was a small stream running through the forest.,有一条小溪从森林中流过。
emergency team;;抢救队;;The emergency team is ready to set out to save people's lives.,抢救队准备好出发救人了。
hypothalamus;/ˌhaɪpəˈθæləməs/;n. 下丘脑;a basal part of the diencephalon governing autonomic nervous system;The hypothalamus is a part of the brain that controls many body functions.,下丘脑是大脑的一部分，它控制着许多身体功能。
hammer;/ˈhæmər/;n. 锤；  v. 锤击;a tool that has a heavy metal head attached to a handle and that is used for hitting nails or breaking things apart;I used a big hammer to push in the nail. ,我用锤子来敲钉子。
somnambulist;/sɑːmˈnæmbjəlɪst/;n. 梦游症患者;someone who walks about in their sleep;The somnambulist almost sleep-walked over a cliff.,这个梦游症患者差点梦游到悬崖。
hamper;/ˈhæmpər/;v. 阻碍，妨碍，牵制；  n. （有盖的）大篮子;to slow the movement, progress, or action of (someone or something);The obstacle hampers forward motion.,障碍物阻碍了前进。
steamer;/ˈstiːmər/;n. 蒸汽船，轮船，蒸锅;a boat or ship that is powered by steam;TITANIC was the largest steamer in the world at that time.,泰坦尼克号曾经是那个时期世界上最大的蒸汽轮船。
stammer;/ˈstæmər/;v. 口吃，结巴着说出；  n. 口吃;to speak with many pauses and repetitions because you have a speech problem or because you are very nervous, frightened, etc.;My stammer embarrassed me when I was dating a girl.,我的口吃让我在与女孩约会的时候出丑了。
enamel;/ɪˈnæml/;n. 搪瓷，珐琅，瓷釉，指甲油；  v. 彩饰，涂以瓷釉;a material like colored glass that is heated until it is liquid and then used to decorate the surface of metal, glass, or pottery;This old pot has a blue enamel coating.,这口旧锅的搪瓷是蓝色的。
madame;/'mædəm/;n. 夫人，女士;used like lady;Although Madame Roland is aged, she's still charming.  ,尽管Roland女士上了年纪，但她还是很迷人。
amusing;/əˈmjuːzɪŋ/;adj. 有趣的，好玩的，引人发笑的;;We laughed at her amusing story.,我们被她有趣的故事逗乐了。
family;/ˈfæməli/;n. 家，家庭成员，氏族，家庭，族，科;a group of people who are related to each other;Our family is a dog, three kids, my wife, and me, in that order.,按顺序来说，我们的家庭是由一只狗，三个孩子，我妻子和我组成的。
amino acid;/əˌmiːnoʊ ˈæsɪd/;n. ［生］氨基酸;any one of many acids that occur naturally in living things and that include some which form proteins;Amino acids are the building blocks of life.,氨基酸是生命的构造单元。
amulet;/ˈæmjʊlət/;n. 护身符;a small object worn to protect the person wearing it against bad things (such as illness, bad luck, etc.);I wear this ancient amulet around my neck to protect me from ghosts.,我把这个古老的附身符戴在脖子上辟邪。
amazing;/əˈmeɪzɪŋ/;adj. 令人吃惊的，非凡的;causing great surprise or wonder :causing amazement;The sunrise is so amazing!,日出美得惊人！
gamut;/'ɡæmət/;n. 全音阶，长音域，整个领域，全体;a range or series of related things;In a single day my emotions ran the gamut from misery to ecstasy.,一天之内，我的情绪包括了从悲哀到狂喜的整个范围。
proclamation;/ˌprɑːkləˈmeɪʃn/;n. 宣布，公告;an official statement or announcement made by a person in power or by a government;The CFO's proclamation of the budget was accepted peacefully.,大家和平地接受了首席财务官的预算公告。
champion;/ˈtʃæmpiən/;n. 冠军；优胜者；  vt. 拥护；保卫；为……而斗争;someone or something (such as a team or an animal) that has won a contest or competition especially in sports;Mr. Bug won the poop-rolling game! Congratulations to the champion!,虫虫先生赢得了滚屎大赛！恭喜冠军得主！
camel;/ˈkæml/;n. 骆驼，浮船箱，驼色;a large animal of Africa and Asia that has a long neck and one or two large humps on its back and that is often used for desert travel;The camel is known as the ship of the desert.,骆驼被称作沙漠之舟。
armament;/ˈɑːrməmənt/;n. 武器，军备;military weapons that are used to fight a war;Modern armaments are necessary to fight the wars of the 21st century.,21世纪，现代军用武器在作战中是不可或缺的。
pamphlet;/ˈpæmflət/;n. 小册子;a small, thin book with no cover or only a paper cover that has information about a particular subject;The pamphlet will explain how our product works.,这本小册子介绍了产品的工作原理。
ambush;/ˈæmbʊʃ/;n. 埋伏，伏击，伏兵；  v. 埋伏，伏击;to attack (someone or something) by surprise from a hidden place;The crocodile is waiting to ambush any nearby animals.,鳄鱼等待着伏击任何附近的动物。
ambidextrous;/ˌæmbiˈdekstrəs/;adj. 双手都灵巧;able to use both hands equally well;Jane is ambidextrous; she can brush her teeth using both hands.,珍双手灵巧，她可以同时用两只手刷牙。
gramophone;/ˈɡræməfoʊn/;n. 留声机;an antique record player; the sound of the vibrating needle is amplified acoustically;This antique gramophone still plays the old records it came with.,这台复古留声机还能播放它里面的老唱片。
Mesopotamian;;n. 美索不达米亚（两河流域）；  adj. 美索不达米亚的; of or relating to region of Asia between the Tigris and Euphrates rivers;The ancient Mesopotamian civilizations were very advanced.,古美索不达米亚文明曾非常发达。
famous;/ˈfeɪməs/;adj. 著名的，出名的;known or recognized by very many people :having fame;When I go to America, I want to go and see the famous Statue of Liberty.,当我去美国的时候,我想去看著名的自由女神像。
camaraderie;/ˌkɑːməˈrɑːdəri/;n. 友情;a feeling of good friendship among the people in a group;There's a lot of camaraderie among the young people at this beach resort.,这群在这海滩胜地的年轻人中充满着友情。
framework;/ˈfreɪmwɜːrk/;n. 构架，框架，结构;the basic structure of something;You can see the framework of the building so well at the moment.,你现在可以清楚得看见房屋的框架。
surname;/ˈsɜːrneɪm/;n. 姓；  v. 用姓称呼;the name that is shared by the people in a family;Please write your first name and surname here.,请把你的名和姓写在这里。
parliamentary;/ˌpɑːrləˈmentri/;adj. 议会的，国会的，议会制度的;relating to or including a parliament;The party lost 15 seats in the parliamentary election.   ,该党派在议会选举中丢失了15个席位。
example;/ɪɡˈzæmpl/;n. 例子，实例，模范;a person or way of behaving that is seen as a model that should be followed;The math example was completed by Mr. Li.,这道数学例题是李老师完成的。
hamburger;/ˈhæmbɜːrɡər/;n. 汉堡包，煎牛肉饼;a flat, usually round cake of finely chopped beef that is cooked and served usually in a roll or bun;Hamburger is an unhealthy, but delicious food.,汉堡是一种不健康但很好吃的食物。
clamber;/ˈklæmbər/;v. 攀登，爬上;to climb or crawl in an awkward way;She clambered up the steep rocks and continued her walk.,她爬上了陡峭的岩石，然后继续前行。
teammate;/ˈtiːmmeɪt/;n. 队友，同队队员;;We teammates sat together waiting for the game to begin.,我们队友坐在了一起等待比赛开始。
damaged;/'dæmɪdʒd/;adj. 被损坏的;harmed or injured or spoiled.;The car was seriously damaged in the accident.,这辆车在事故中变得破烂不堪。
ashamed;/əˈʃeɪmd/;adj. 感到羞愧的；害臊的;feeling shame or guilt;The cat felt ashamed that it was caught when eating the goldfish.,这只喵星人很羞愧，因为它偷吃金鱼的时候被人发现了。
ramshackle;/ˈræmʃækl/;adj. 摇摇欲坠的;in a very bad condition and needing to be repaired;The poor farmer lived in a ramshackle old cabin.,这个贫穷的农民住在一间摇摇欲坠的破旧棚屋。
traffic jam;;n. 塞车，交通拥塞;;We'll be stuck in this traffic jam for hours!,我们将会被堵上好几个小时！
madam;/ˈmædəm/;n. 夫人，女士，鸨母;used when speaking or writing to a woman in a formal or business situation;Madam, is there anything I can get for you?,女士，有什么可以帮您么？
enamored;/en'æməd/;adj. 迷恋的，倾心的;in a state in which you love, admire, or are very interested in something or someone;Does your giving me this heart mean you're really enamored of me?,你送我这颗心是代表你真的很迷恋我吗？
