pay rise;/peɪ raɪz/;涨工资;pay increase;He is satisfied with the pay rise he got.,他对加薪感到很满意。
praise;/preɪz/;v. 赞扬，歌颂，表扬，称赞；  n. 称赞，赞美，赞美的话;to say or write good things about (someone or something) :to express approval of (someone or something);Mary would always praise her students whenever they made an extra effort.,玛丽总会在她的学生们特别努力时表扬他们。
televise;/ˈtelɪvaɪz/;v. 电视播送;to broadcast (something) by television;She's absorbed in watching the televised royal wedding.,她全神贯注于电视转播的皇室婚礼。
compromise;/ˈkɑːmprəmaɪz/;n. 妥协，折中；  v. 妥协，使遭受危害;a way of reaching an agreement in which each person or group gives up something that was wanted in order to end an argument or dispute;The seller made a compromise and sold the dress at 50 yuan.,商家做出了妥协，50元卖出了那条裙子。
merchandise;/ˈmɜːrtʃəndaɪs/;n. 商品，货品；  v. 买卖，经营;goods that are bought and sold;For this week only, we'll give you 25% off select merchandise!,特选商品25%的折扣，仅限本周。
supervise;/ˈsuːpərvaɪz/;v. 监督；指导；管理;to be in charge of somebody or something and make sure that everything is done correctly, safely, etc.;My mother supervised me to make sure that I was studying.,我妈妈监督我来确保我是在学习。
disembark;/ˌdɪsɪmˈbɑːrk/;vi. 上岸，登陆，下车，下飞机；  vt. 使上岸，使登陆;to leave a ship or airplane;We disembarked from the helicopter at the top of the mountain.,在山顶，我们从直升飞机上下来。
apprise;/əˈpraɪz/;v. 通知，报告;to give information to (someone);He used his megaphone to apprise us of the situation.,他用喇叭筒向我们报告情况。
surmise;/sərˈmaɪz/;v. 猜测，推测，认为；  n. 推测，猜度;to form an opinion about something without definitely knowing the truth;What might my crazy ex-boyfriend be doing now? I can't even surmise.,我那疯狂的前男友现在在干什么？我甚至不能猜测。
exercise;/ˈeksərsaɪz/;v. 运动，锻炼；  n. 操练，习题;physical activity that is done in order to become stronger and healthier;Exercise is the key to good health. ,锻炼是保持健康的关键。
enfranchise;/ɪnˈfræntʃaɪz/;v. 给予选举权，释放（奴隶）;to give (someone) the legal right to vote;I'm now 18, which enfranchises me to vote in the next election.,现在我满18岁了，这赋予了我在下一次选举时的选举权。
in surprise;;吃惊，惊讶;be shocked;She was in surprise when she saw the ring.,她看到戒指后非常惊喜。
improvise;/ˈɪmprəvaɪz/;v. 即席创作，临时凑成;to speak or perform without preparation;The guitarist threw away his music sheet and began to improvise.,吉他手扔掉了乐谱开始即兴演奏。
raise money;/reɪz ˈmʌni/;筹钱;to bring or collect money together;Let's raise money to help people in need.,让我们筹钱来帮助那些有需要的人。
sunrise;/ˈsʌnraɪz/;n. 日出，晨曦；  adj. 新兴的;the colors that are in the sky when the sun slowly appears above the horizon;I got up early today and saw a beautiful sunrise.,我今天早起看了日出。
bruise;/bruːz/;n. （人体组织或表皮等跌、碰撞后产生的）青肿，挫伤，擦痕；  vi. 擦伤；  vt. 青肿，擦伤;a dark and painful area on your skin that is caused by an injury;She looks terrible--she has bruises all over her arm.,她看上去很糟糕—淤青布满了她的手臂。
rise;/raɪz/;n. 上升，上涨，增加；  v. 上升，上涨，升起，起身，增长;to move upward;The hot air balloon rises up into the sky.,热气球飞上了高空。
advise;/ədˈvaɪz/;v. 建议，劝告，忠告，通知;to give an opinion or suggestion to someone about what should be done :to give advice to (someone);My teacher advised me to use the APP when I failed the English exam.,英语考试不及格(╥﹏╥)，老师建议我用这个爱屁屁(・ω・)ノ。
bisect;/baɪˈsekt/;n. 对剖邮票；  vi. 分开；  vt. 把…分切为二，把…二等分，二等分;to divide (something) into two equal parts;Bisect the lemon with a knife.,用刀把柠檬切成两半。
disguise;/dɪsˈɡaɪz/;vt. 伪装，掩饰，假扮；  n. 伪装物，伪装，托辞，伪装的方式;to change the usual appearance, sound, taste, etc. of somebody or something so that people will not recognize that person or thing;Miss Bear disguised herself as a panda by wearing black stockings.,熊小姐通过穿黑丝袜把自己伪装成了一个熊猫。
apologise;/ə'pɒlədʒaɪz/;vt. 道歉，认错；  vi. 道歉，认错; to make an apology;I should apologise to my friend for yelling at him.,我应该向我朋友道歉，因为我对他大声吼叫了。
franchisee;/ˌfræntʃaɪ'ziː/;n. 加盟商，特许经营人，有代销权的人或团体;a person or company that has been given a franchise;We have three franchisees working in this area now.,现在，在这一地区我们有三家加盟商。
malaise;/məˈleɪz/;n. 不舒服，心神不安;a slight or general feeling of not being healthy or happy;I don't feel too good - nothing definite, just a kind of vague malaise in my tummy.,我不太舒服，不确定具体是什么，就是肚子有点不舒服。
emphasise;/'emfəsaɪz/;v. 强调;to give special attention to (something); to place emphasis on (something);I want to emphasise how important it is for us to use teamwork.,我想要强调团队合作对我们来说多么重要。
cruise ship;;游艇;a passenger ship used commercially for pleasure cruises.;I've had a wonderful week on the cruise ship around the Caribbean.,我在游览加勒比海的游艇上度过了很愉快的一周。
jeopardise;/'dʒepədaɪz/;v. 使受危害，使陷险境;pose a threat to; present a danger to;The school bully jeopardises the boy's safety.,校霸危害到了那个男生的安全。
chastise;/tʃæˈstaɪz/;v. 严厉惩罚，遣责;to criticize (someone) harshly for doing something wrong;The gold man chastises his friend.,这个金人严厉谴责他的朋友。
socialise;/'soʃəlaɪz/;v. 来往，交往，交际;take part in social activities; interact with others;My neighbors are friendly; I enjoy socialising with them.,我的邻居们很友好，我乐于与他们交往。
advertisement;/ˌædvərˈtaɪzmənt/;n. 广告，公告，广告活动，宣传;something (such as a short film or a written notice) that is shown or presented to the public to help sell a product or to make an announcement;The advertisement says this drug makes you laugh to death.,广告说这药可以让你大笑致死。
porpoise;/ˈpɔːrpəs/;n. 鼠海豚，海豚;a small usually gray and white whale that has a rounded nose;My son's favorite animals at the aquarium are the porpoises because they can do funny tricks.,水族馆里的动物中，我儿子最爱海豚。因为他们会带来有趣的表演。
organise;/ˈɔːrɡənaɪz/;v. 整理，处理；组织，筹备;to arrange something or the parts of something into a particular order or structure;Please organise the files by number.,请按编号整理好文件。
raised;/reɪzd/;adj. 凸起的，举起的，发酵的，浮雕的;;"Cheers!" she said with her wine glass raised.,“干杯！”她举起酒杯说到。
noise;/nɔɪz/;n. 喧闹声，噪声，吵嚷声;a loud or unpleasant sound;She can't stand the noise any more.,她再也不能忍受这个噪音了。
disengage;/ˌdɪsɪnˈɡeɪdʒ/;v. 分开;to separate from someone or something;I'm trying to disengage these two rings from each other.,我在努力把这两个环分开。
criticise;/'krɪtəˌsaɪz/;v. 批评，吹毛求疵，非难;to express disapproval of (someone or something) : to talk about the problems or faults of (someone or something);He criticised me for not doing my work very well.,他因为我工作没有做好而批评我。
precisely;/prɪˈsaɪsli/;adv. 精确地，恰恰;;It's precisely two o'clock.,现在刚好两点钟。
advertise;/ˈædvərtaɪz/;v. 为…做广告；公告；公布;to tell the public about a product or a service in order to encourage people to buy or to use it;We advertise our company on TV to make it well-known.,我们在电视上为我们的公司打广告，以便让更多的人知道它。
otherwise;/ˈʌðərwaɪz/;adv. 否则，不同地，在不同方面；  adj. 不同的;used to state what the result would be if something did not happen or if the situation were different;Give me your money, otherwise I'll kill you.,给我你的钱，不然就杀了你。
recognise;/'rekəgnaɪz/;v. 识别，承认，认可，表彰;;Man, your cool hat means that you are easily recognised in a crowd.,你这个行头太拉风啦，偶一眼就认出你啦~~
miser;/ˈmaɪzər/;n. 守财奴，吝啬鬼，（石油）凿井机;a person who hates to spend money :a very stingy person;A true miser would even sleep holding  his money tightly!,一个真正守财奴甚至在睡觉的时候也紧抱着自己的钱财。
counterclockwise;/ˌkaʊntərˈklɑːkwaɪz/;adv. 逆时针方向;in the direction opposite to movement of a clock's hands;You must turn the cap counterclockwise to open the bottle.,你必须逆时针旋转瓶盖才能打开瓶子。
premise;/ˈpremɪs/;n. 前提，房屋地基；  v. 假定;a building and the area of land that it is on;This is the movie's premise: Two people are trapped on an island and they end up falling in love!,在电影的前情假定中，两个被困在荒岛上的人迟早要相爱。
imprecise;/ˌɪmprɪˈsaɪs/;adj. 不精确的，不严密的;not clear or exact :not precise;The sign seems imprecise - does it mean that bikes have to watch out for flying cars?,这个标志好像不太严密-它是指自行车辆需要注意飞驰的汽车吗？
realise;/'rɪə,laɪz/;vt. 领悟；了解；实现；实行;;They don't realise the risk.,他们还没意识到危险性
in disguise;/ɪn dɪsˈɡaɪz/;装扮，伪装;If you are in disguise, you are not wearing your usual clothes or you have altered your appearance in other ways, so that people will not recognize you.;The little boy in disguise is waiting for the birth of the chick.,小男孩假扮成母鸡，等着小鸡的出生。
devise;/dɪˈvaɪz/;v. 设计，想出，密谋，遗赠（不动产）；  n. 设计，发明，遗赠;to invent or plan  a new way of doing something (that is difficult or complicated);They devised a plan for their company‘s future.,他们制定了公司未来发展计划。
adviser;/ədˈvaɪzər/;n. 顾问，劝告者，指导教师（等于advisor）;;Our financial adviser helps us with our money plans.,我们的理财顾问帮助我们制定财务计划。
despise;/dɪˈspaɪz/;vt. 轻视，蔑视，看不起;to dislike (something or someone) very much;The dog despises the cat for licking her ass.,狗狗鄙视舔屁屁的猫。
treatise;/ˈtriːtɪs/;n. 论述，论文，专著;a book, article, etc., that discusses a subject carefully and thoroughly;He read a long treatise on medicine.,他阅读着一部医药方面的长篇专著。
summarise;/'sʌməˌraɪz/;v. 概括，总结;to tell (information) again using fewer words;I think the speaker summarised the theory quite nicely. ,我认为发言人很好的概括了这个原理。
clockwise;/ˈklɑːkwaɪz/;adj. 顺时针方向的；  adv. 顺时针方向地;in the direction that the hands of a clock move when you look at it from the front;Clock hands rotate in a clockwise direction.,指针沿着顺时针方向运动。
appraiser;/əˈpreɪzər/;n. 鉴定人，估价官;one who estimates officially the worth or value or quality of things;He's worked as an appraiser of jewels for over 20 years.,他已经当了20年的珠宝鉴定人了。
turquoise;/ˈtɜːrkwɔɪz/;n. 绿松石，蓝绿色；  adj. 蓝绿色的;a bluish-green stone used in jewelry;I really like the look of turquoise jewelry.,我真的很喜欢绿松石珠宝的外观。
incise;/ɪnˈsaɪz/;v. 切，切割，雕刻;to cut or carve (letters, patterns, etc.) into a surface;The skilled woodworker incised a picture into the wood.,这个娴熟的木工在木头上雕刻了图画。
disorganised;/dɪsˈɔːgənaɪzd/;adj. 杂乱无章的;badly organized or planned;My room is always disorganised.,我的房子总是杂乱无章。
give rise to;/ɡɪv/ /raɪz/ /tu/;引起，发生;cause to happen or occur, not always intentionally;Many things will give rise to success.,很多因素都能带来成功。
comprise;/kəmˈpraɪz/;v. 包含，包括，构成;to be made up of (something)；to include or consist of (something);The USA is comprised of 50 states.,美国由50个州组成。
cruiser;/ˈkruːzər/;n. 巡洋舰，巡航飞机，警察巡逻车;;A police cruiser pulled us over.,一辆警察巡逻车让我们靠边停车。
chisel;/ˈtʃɪzl/;v. 刻，凿；  n. 凿子;to cut or shape (something) with a chisel;The man chisels at the rock.,那个男人在凿刻石头。
guise;/ɡaɪz/;n. 外观，装束，伪装;a way of seeming or looking that is not true or real;For Halloween we dressed up straw dolls in the guise of football players.,为了万圣节，我们把稻草玩偶装扮成足球运动员的样子。
surprise;/sərˈpraɪz/;n. 惊奇，诧异，惊人之事；  int. 真奇怪啊，真想不到；  vi. 惊奇，吃惊；  adj. 令人惊奇地，出人意料的；  vt. 使惊奇，使诧异，使感到意外;an unexpected event, piece of information, etc.;When he asked me to marry him, it was such a surprise!,当他向我求婚时，我感觉太惊喜了。
fertilise;/ˈfɜːrtəlaɪz/;v. 施肥于；使授粉，使受精;to add a substance to soil to make plants grow more successfully;We fertilise the soil using manure to help the plants grow.,我们用肥料来使土壤变得肥沃以帮助植物生长。
promise;/ˈprɑːmɪs/;n. 诺言，保证，允诺的事，（有）希望；  vi. 允诺，有指望；  vt. 允诺，保证;a verbal commitment by one person to another agreeing to do (or not to do) something in the future;We make a promise by pulling each other's little finger.,我们拉钩来许下承诺。
demise;/dɪˈmaɪz/;n. 死亡，终结;an end of life;After his untimely demise, we buried him next to his parents.,他早逝后，我们将他埋在了父母的墓旁。
utilise;/'juːtlˌaɪz/;v. 利用; to use (something) for a particular purpose;We utilise recycled aluminum cans to make new ones.,我们利用回收的铝罐制造新的罐头瓶。
synchronise;/'sɪŋkrəˌnaɪz/;v. 使同步;make synchronous and adjust in time or manner;The divers must synchronise in order to get a high score. ,跳水者为了取得高分必须同步。
franchise;/ˈfræntʃaɪz/;n. 特许（经营权），公民权，选举权；  v. 赋予特权，赋予公民权;the right to sell a company's goods or services in a particular area;I gained the franchise of the restaurant so I can sell food!,我获得了这家快餐店的特许经营权，我可以卖它的食物啦！
antiseptic;/ˌæntiˈseptɪk/;n. 杀菌剂；  adj. 防腐的，抗菌的;a substance that prevents infection in a wound by killing bacteria;Hospital staff are required to use antiseptic hand wash.,医院工作人员被要求使用抗菌剂来洗手。
miserable;/ˈmɪzrəbl/;adj. 悲惨的；使人难受的;very severe or unpleasant;Penny was miserable when she heard the bad news.,Penny听到这个坏消息时非常痛苦。
minimise;/'mɪnɪmaɪz/;vt. 使减少到最少，使降到最低;to make (something bad or not wanted) as small as possible;Our company needs to minimise costs in order to save money.,我们公司需要最小化成本来节约钱。
wise;/waɪz/;adj. 有智慧的，聪明的；  v. 知道，教导;having or showing wisdom or knowledge usually from learning or experiencing many things;My college professor is quite wise about many things.,我的大学教授很博学。
excise;/'eksaɪz/;v. 切除，删去；  n. 消费税，货物税，国产税;to remove (something) by cutting it out;Before serving smoked salmon, excise the bones with a very sharp knife.,在端出烟熏三文鱼之前，先用锋利的刀去掉骨头。
paradise;/ˈpærədaɪs/;n. 天国；天堂；极乐世界;(in some religions) a perfect place where people are said to go when they die;Christians believe that paradise awaits them after death.,基督教徒相信在他们死后会进入天国。
characterise;/'kærɪktəˌraɪz/;v. 刻画……的性格，表示……的特性;describe or portray the character or the qualities or peculiarities of;How would you characterise him? Is he a  happy or sad person?,你觉得他的性格怎么样？他是一个快乐的人还是忧郁的人？
appraise;/əˈpreɪz/;v. 评价，鉴定，估价;to say how much something is worth after you have carefully examined it :to give an official opinion about the value of (something);Could you please appraise our service? Was it good or bad?,你能评价我们的服务吗？好还是坏？
