the accused;/ði əˈkjuːzd/;n. 被告;the defendant in a criminal proceeding;"He did it!" the man said, pointing at the accused.,那个男人指着被告说，“是他干的！”
suffuse;/səˈfjuːz/;v. （色彩等）弥漫，染遍;to spread over or fill (something);During the Northern Lights, the sky is suffused with many colors.,在北极光期间，天空弥漫着不同色彩。
used to do sth.;;过去常常;done before that;My mom used to read to me when I was younger, but now I read by myself.,小时候，妈妈常常读书给我听，但是现在，我可以自己读书了。
applause;/əˈplɔːz/;n. 鼓掌，欢呼，赞许;a show of approval or appreciation at a play, speech, sporting event, etc. in which people strike their hands together over and over;My talk was so popular that there was applause from everyone.,我的讲话太受欢迎了，每个人都鼓掌了。
cause;/kɔːz/;v. 引起，造成；  n. 原因，理由，事业，目标;to make (something) happen or exist; to be the cause of (something);Smoking can cause lung cancer.,吸烟可致肺癌。
fuse;/fjuːz/;n. 导火线，引信，保险丝；  v. （使）因保险丝熔断而中断工作，熔合，合并;a string that is connected to an explosive device (such as a bomb or firecracker) and that is set on fire to cause the device to explode;Run away from the bomb before the fuse burns down.,在导火线燃尽前，请远离炸弹。
housework;/ˈhaʊswɜːrk/;n. 家务，劳动，家务事;work (such as cleaning, cooking, or laundry) that is done to keep a house clean and running properly;We hired a maid to do the housework because we are all too lazy to do it ourselves.,我们雇佣了一个女佣来做家务，因为自己实在是懒得做。
house;/haʊs/;n. 房屋，住宅，商号，议会，机构;a building in which a family lives;His house is so cool! It looks like it's from the future.,他的房子真酷!看起来就像来自未来！
nausea;/ˈnɔːziə/;n. 作呕，恶心;the feeling you have in your stomach when you think you are going to vomit;I feel a little nausea today; maybe it was something I ate.,今天我感觉有点恶心；也许跟我吃的东西有关。
lighthouse;/ˈlaɪthaʊs/;n. 灯塔;a tower with a powerful light that is built on or near the shore to guide ships away from danger;The old lighthouse still guides boats at night.,这座破旧的灯塔依然在夜里为船只导航。
excuse;/ɪkˈskjuːs/;n. 借口，辩解；  v. 原谅，宽恕，免除;a reason for doing something;She did not accept my excuse.,她没有接受我的解释。
useless;/ˈjuːsləs/;adj. 无用的，无价值的，无效的;not at all useful :not doing or able to do what is needed;This computer is useless; I need to get a new one.,这台电脑不能用了，我需要换新的。
household;/ˈhaʊshoʊld/;n. 家庭，同住在一家的人，家务；  adj. 家庭的，家内的，一家的;of or relating to a house or to the people living in a house;I grew up in a large household.,我生长在一个大家庭。
arouse;/əˈraʊz/;vt. 唤起;;She arouses us when she wears that blouse.,当她穿着那件上衣的时候，我们都被吸引了。
confuse;/kənˈfjuːz/;v. 混淆，使混乱，使迷糊;to make someone uncertain or unable to understand something;I always confuse the girl with her twin sister.,我一直把那个女孩和她的双胞胎姐姐搞混淆。
boardinghouse;/'boʊrdɪŋˌhaʊs/;n. 公寓，供膳食的寄宿处;a house where people pay to live and have daily meals;We stayed at a small boardinghouse close to the beach.,我们在靠近海边的一个小屋过的夜。
excuse;/ɪkˈskjuːs/;n. 借口，辩解；  v. 原谅，宽恕，免除;a reason for doing something;She did not accept my excuse.,她没有接受我的解释。
housemaid;/ˈhaʊsmeɪd/;n. 女佣，女仆;a female servant who does cleaning, laundry, etc.;We have a housemaid who comes in twice a week to clean the house.,我们有一位女佣，她每周上门两次来打扫房间。
reuse;/ˌriːˈjuːs/;v. 重新使用，循环使用;to use (something) again;It is important to reuse bottles!,重复利用瓶子很重要!
username;/'juːzərneɪm/;n. 用户名;the name you use in order to be able to use a computer program or system;You must have a username if you want to use an interactive app.,要想使用一款社交类应用软件，你必须有一个用户名。
useful;/ˈjuːsfl/;adj. 有用的;;It is wonderful to be useful.,变得有用是件很美妙的事情。
disabuse;/ˌdɪsəˈbjuːz/;v. 使省悟，解迷惑，释疑，矫正;to show or convince (someone) that a belief is incorrect;Mother disabused us of the idea that we can sit around on the couch all day.,妈妈纠正了我们以为可以整天坐在沙发玩的错误观念。
recluse;/ˈrekluːs/;n. 隐士；  adj. 隐士的，隐遁的;a person who lives alone and avoids other people;This recluse spends all his time meditating in the mountains.,这个隐士的所有时间都在山中冥想。
